PermA,PermB,PermC
55.4,150,52.2
57.2,148.3,53.8
59.7,147.9,58.8
57.9,145.7,58
59.9,146.5,55.4
59.3,146.7,55
59.9,146.8,58.2
58.3,145.2,61.7
56.2,148.7,63.3
57.4,147.1,62.3
58.4,147.9,62.9
55.2,146.1,61.2
55.6,147.9,62.6
60.5,146.1,62.1
60.7,147.6,63.1
64.2,149.9,60.5
61.9,148.3,63.5
60.1,147.6,60.4
64.5,149.6,63.3
64,149.8,69.3
60,146.4,69.9
62.5,147.8,69.7
64.9,149.6,67.6
60,149.2,68.1
60.3,148.3,65.4
60.1,146.6,68.5
62.3,146,66.9
60.4,145.5,67
60.4,148.7,68.6
61,146.4,69.2
61.7,146.7,65.6
63.7,146.6,66.6
64.7,145,71.1
63.6,148.6,74.7
68.1,148.8,73.8
66.4,147.3,70.9
69.1,149.1,70.2
65.8,146.3,72.8
69.5,146.4,70.9
69.2,145.7,70.9
67.9,147.1,70.4
65.5,146.6,73.9
65.3,149.4,70
68.1,146.3,79.5
67.1,149.1,75.2
65.4,141.5,79.3
68.4,141,76.4
66.3,142,77.2
71.8,143.7,78.2
74.5,143,79.8
71.8,135.8,77.2
74.6,137.6,75.6
74,130.1,79.1
71.1,134.9,75.6
74.7,132.7,82.2
72.8,133.3,83
72.6,126.2,82.6
70.7,128.5,83.8
72.9,129.1,82.7
74.9,127.6,81.8
70.1,120.1,80.7
74.2,120.6,81.3
70.2,120.1,89.9
76.3,125,87.7
77.5,123.7,86.1
78.3,115.2,85.6
76.4,116,92
78.3,110.8,92.7
75.4,114.4,90.6
76.6,113.1,91.2
75,114.6,94.6
77.6,113.4,91.2
75.1,110.6,92.5
84.7,109.3,96
84.2,109.1,98.8
84.8,105.7,96.3
83.8,108.5,95.2
80.4,107.9,95
81.2,106.6,95.4
83.8,108.5,102.6
81.5,107.3,100.5
84,107.3,104.7
83.5,103,105.2
89.6,100.2,109.8
87.8,104.3,106.1
85.4,101.7,109.2
89,101.9,109.2
94.3,103.9,111.3
91.1,104.3,114.2
92.4,104.5,118
92.1,99.8,117.6
93.5,104.1,116.5
98.7,95.2,120.2
97,96.2,123.1
99.4,98.1,120.4
101.6,90.3,123.3
108.9,92.7,121.4
117.3,85.4,125.6
118.5,65.7,129
122.4,50.4,126.8
